placekey,latitude,longitude,top_category
zzy-223@62j-sj3-9zz,42.379957,-71.094799,Drinking Places (Alcoholic Beverages)
24d-222@62j-sj2-s5z,42.363664,-71.101451,Restaurants and Other Eating Places
zzw-224@62j-sj2-b49,42.359126,-71.092975,Restaurants and Other Eating Places
248-223@62j-sjv-b6k,42.372441,-71.118977,Restaurants and Other Eating Places
22d-222@62j-sjv-9zz,42.372068,-71.120871,Restaurants and Other Eating Places
26n-225@62j-sjv-j7q,42.370698,-71.113341,Restaurants and Other Eating Places
236-222@62j-sj2-hnq,42.370467,-71.104428,Restaurants and Other Eating Places
226-224@62j-sjv-bp9,42.372969,-71.118472,Restaurants and Other Eating Places
25x-223@62j-sjv-8jv,42.371255,-71.11466300000002,Restaurants and Other Eating Places
28p-223@62j-sj2-p7q,42.365024,-71.10421600000002,Restaurants and Other Eating Places
22h-222@62j-sjv-9mk,42.374228,-71.120007,Restaurants and Other Eating Places
zzw-226@62j-sjv-8jv,42.371267,-71.114633,Restaurants and Other Eating Places
zzw-22b@62j-sj2-54v,42.365924,-71.09108,Restaurants and Other Eating Places
23b-222@62j-sj2-rzf,42.363667,-71.09998399999998,Restaurants and Other Eating Places
22t-222@62j-sj2-sqz,42.364708,-71.105739,Restaurants and Other Eating Places
22g-223@62j-sj2-4jv,42.369953,-71.096059,Restaurants and Other Eating Places
255-222@62j-sjv-9zz,42.372467,-71.120859,Drinking Places (Alcoholic Beverages)
22d-224@62j-sjv-9zz,42.372065,-71.120869,Restaurants and Other Eating Places
22d-222@62j-sjv-8qf,42.372303,-71.116061,Restaurants and Other Eating Places
2b4-222@62j-sj2-jqf,42.36842100000001,-71.10920899999998,Restaurants and Other Eating Places
245-223@62j-sjv-c5z,42.373862,-71.112971,Restaurants and Other Eating Places
2dz-222@62j-sj3-2zf,42.364305,-71.08403299999998,Restaurants and Other Eating Places
23c-223@62j-sk2-nt9,42.378942,-71.106734,Restaurants and Other Eating Places
23k-223@62j-sgg-j7q,42.35987,-71.10995799999998,Restaurants and Other Eating Places
zzw-223@62j-sj2-s5z,42.363581,-71.101086,Restaurants and Other Eating Places
225-222@62j-sj2-z2k,42.377959,-71.089727,Restaurants and Other Eating Places
22d-22c@62j-sjv-9zz,42.372068,-71.120846,Restaurants and Other Eating Places
223-222@62j-sjv-9zz,42.372316,-71.121286,Restaurants and Other Eating Places
226-222@62j-sj2-c3q,42.36245200000001,-71.098,Restaurants and Other Eating Places
227-222@62j-sjv-99f,42.37372,-71.12182299999998,Restaurants and Other Eating Places
24h-222@62j-sj3-9j9,42.374521,-71.101502,Drinking Places (Alcoholic Beverages)
24g-222@62j-sjv-99f,42.373518,-71.12155600000001,Drinking Places (Alcoholic Beverages)
226-222@62j-sj2-t35,42.365967,-71.105213,Restaurants and Other Eating Places
23y-222@62j-sj2-syv,42.366709,-71.105369,Restaurants and Other Eating Places
22v-224@62j-sj3-9cq,42.374052,-71.10006899999998,Restaurants and Other Eating Places
223-224@62j-sjv-9mk,42.373476,-71.120052,Restaurants and Other Eating Places
22s-222@62j-sj2-4vz,42.366355,-71.094301,Restaurants and Other Eating Places
222-222@62j-sj3-9fz,42.372746,-71.099375,Restaurants and Other Eating Places
23s-222@62j-sj2-mkz,42.374948,-71.10911899999998,Restaurants and Other Eating Places
22g-222@62j-sj2-t35,42.365432,-71.104613,Restaurants and Other Eating Places
23g-222@62j-sjv-9zz,42.37179,-71.120643,Restaurants and Other Eating Places
22x-222@62j-sj2-ffz,42.36339,-71.09687,Restaurants and Other Eating Places
243-222@62j-sj3-9zz,42.379863,-71.094486,Restaurants and Other Eating Places
22f-223@62j-sjv-9vf,42.37219,-71.119562,Restaurants and Other Eating Places
24m-222@62j-sjv-9zz,42.372375,-71.121481,Restaurants and Other Eating Places
22k-223@62j-sjv-9mk,42.373613,-71.119502,Restaurants and Other Eating Places
zzw-227@62j-sj2-9cq,42.359247,-71.093127,Restaurants and Other Eating Places
223-222@62j-sj2-ffz,42.363395,-71.096884,Restaurants and Other Eating Places
23f-223@62j-sj2-s5z,42.36392100000001,-71.101676,Restaurants and Other Eating Places
24b-222@62j-sjv-g8v,42.36469,-71.113258,Restaurants and Other Eating Places
