Number,Name,y,x,District,Public,Total docks
C32018,E Cottage St at Columbia Rd,42.320561,-71.06198,Boston,Yes,0
A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,Boston,Yes,16
S32017,East Somerville Library (Broadway and Illinois),42.38762811,-71.08318716,Somerville,Yes,15
S32038,Edgerly Education Center,42.38717463,-71.08714389,Somerville,Yes,15
A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Boston,Yes,19
M32034,EF - North Point Park,42.369885,-71.069957,Cambridge,Yes,23
E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,Boston,Yes,15
S32039,Elm St at White St,42.38952436,-71.1169414,Somerville,Yes,19
V32005,Encore,42.39329263,-71.0724476,Everett,Yes,15
V32003,Everett Square (Broadway at Chelsea St),42.40725945,-71.05546381,Everett,Yes,14
A32000,Fan Pier,42.35339051,-71.0445714,Boston,Yes,15
A32038,Faneuil St at Arlington St,42.35276621,-71.15988486,Boston,Yes,15
C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Boston,Yes,23
C32041,Fields Corner T Stop,42.300664,-71.060295,Boston,Yes,15
E32010,Forest Hills,42.300923,-71.114249,Boston,Yes,40
S32015,Foss Park,42.39108438,-71.09039426,Somerville,Yes,15
C32037,Four Corners - 157 Washington St,42.30412793,-71.07929528,Boston,Yes,11
C32027,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,Boston,Yes,15
C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Boston,Yes,14
M32051,Fresh Pond Reservation,42.38267828,-71.14347895,Cambridge,Yes,17
M32072,Galileo Galilei Way at Main Street,42.36300378,-71.08974038,Cambridge,Yes,19
C32040,Gallivan Blvd at Adams St,42.28297568,-71.05466698,Boston,Yes,15
C32090,Geiger Gibson Community Health Center,42.31886468,-71.04536798,Boston,Yes,19
V32006,Glendale Square (Ferry St at Broadway),42.41427294,-71.04479656,Everett,Yes,15
A32034,Glendon St at Condor St,42.38240378,-71.03024304,Boston,Yes,0
A32049,Gove St at Orleans St,42.37057753,-71.0355854,Boston,Yes,19
B32032,Government Center - Cambridge St at Court St,42.3598254,-71.05979576,Boston,Yes,23
M32068,Graham and Parks School ? Linnaean St at Walker St,42.3829443,-71.12449831,Cambridge,Yes,19
E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Boston,Yes,23
B32028,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Boston,Yes,15
S32019,Grove St at Community Path,42.39638681,-71.12011306,Somerville,Yes,15
V32012,Hale Park,42.41496265,-71.05279301,Everett,Yes,11
D32043,Harrison Ave at Bennet St,42.3494261,-71.0620996,Boston,Yes,19
C32093,Harrison Ave at E. Dedham St,42.339194,-71.06975,Boston,Yes,19
C32057,Harrison Ave at Mullins Way,42.34521562,-71.06384031,Boston,Yes,19
D32035,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,Boston,Yes,15
M32016,Harvard Kennedy School at Bennett St / Eliot St,42.3722168,-71.12188071,Cambridge,Yes,23
M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Cambridge,Yes,19
M32017,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,Cambridge,Yes,15
M32018,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Cambridge,Yes,19
M32055,Harvard St at Greene-Rose Heritage Park,42.36599433,-71.09522222,Cambridge,Yes,19
A32052,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,Boston,Yes,15
M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,Cambridge,Yes,17
M32021,Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025,Cambridge,Yes,15
M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Cambridge,Yes,15
