placekey,latitude,longitude,top_category
235-222@62j-sj2-s5z,42.364142,-71.101297,Restaurants and Other Eating Places
243-222@62j-shx-j7q,42.372246000000004,-71.07982,Restaurants and Other Eating Places
zzw-223@62j-shx-gx5,42.371959999999994,-71.075408,Restaurants and Other Eating Places
zzw-22c@62j-sj2-p35,42.364867,-71.102399,Drinking Places (Alcoholic Beverages)
224-222@62j-sj2-p35,42.364156,-71.102968,Restaurants and Other Eating Places
25d-222@62j-sj2-p35,42.364343,-71.102333,Restaurants and Other Eating Places
zzw-224@62j-sj2-s5z,42.363572,-71.101336,Restaurants and Other Eating Places
225-223@62j-sj3-3bk,42.364512,-71.082035,Restaurants and Other Eating Places
24r-222@62j-sjs-zmk,42.382759,-71.130809,Restaurants and Other Eating Places
zzw-223@62j-sk2-vpv,42.387351,-71.11843499999999,Restaurants and Other Eating Places
zzy-222@62j-sj3-3bk,42.364909999999995,-71.08259,Restaurants and Other Eating Places
232-222@62j-sj2-c3q,42.361999,-71.09847099999999,Restaurants and Other Eating Places
22x-222@62j-sj2-ffz,42.36339,-71.09687,Restaurants and Other Eating Places
23f-222@62j-sj2-s5z,42.363958000000004,-71.101638,Restaurants and Other Eating Places
222-222@62j-shx-s89,42.367713,-71.071562,Restaurants and Other Eating Places
23b-223@62j-sj3-85f,42.373154,-71.095093,Restaurants and Other Eating Places
22g-222@62j-sj3-4d9,42.36335,-71.08775,Restaurants and Other Eating Places
26w-222@62j-sjv-kfz,42.368396999999995,-71.116023,Restaurants and Other Eating Places
zzw-226@62j-sk2-v9f,42.387335,-71.118481,Restaurants and Other Eating Places
223-222@62j-sj2-ffz,42.363395000000004,-71.096884,Restaurants and Other Eating Places
228-224@62j-sjv-9zz,42.372004,-71.120343,Restaurants and Other Eating Places
23k-224@62j-sgg-j7q,42.35988,-71.10998000000001,Restaurants and Other Eating Places
24g-222@62j-sjv-99f,42.373518,-71.12155600000001,Drinking Places (Alcoholic Beverages)
zzw-222@62j-sj3-2tv,42.363486,-71.082828,Restaurants and Other Eating Places
22m-222@62j-sjv-9mk,42.373605,-71.11969599999999,Restaurants and Other Eating Places
243-224@62j-sjt-kxq,42.372287,-71.122901,Restaurants and Other Eating Places
24d-222@62j-sj2-s5z,42.363664,-71.101451,Restaurants and Other Eating Places
23d-222@62j-sjv-cdv,42.37324,-71.114262,Restaurants and Other Eating Places
zzw-222@62j-shx-gx5,42.371938,-71.075402,Restaurants and Other Eating Places
zzy-222@62j-sjr-zcq,42.388596,-71.142195,Drinking Places (Alcoholic Beverages)
227-222@62j-sk2-vs5,42.38906,-71.120038,Restaurants and Other Eating Places
244-222@62j-sjz-7t9,42.394752000000004,-71.12689499999999,Restaurants and Other Eating Places
238-222@62j-sjv-8qf,42.372417,-71.11612,Restaurants and Other Eating Places
243-222@62j-sj2-s5z,42.36379,-71.101359,Restaurants and Other Eating Places
26n-222@62j-sj2-vmk,42.371653,-71.08351,Restaurants and Other Eating Places
222-222@62j-sjt-7kf,42.398441,-71.139864,Restaurants and Other Eating Places
234-222@62j-sk2-tsq,42.390619,-71.12213299999999,Restaurants and Other Eating Places
23s-222@62j-sj2-435,42.368856,-71.095125,Restaurants and Other Eating Places
287-222@62j-sj2-vzz,42.37161,-71.08325400000001,Restaurants and Other Eating Places
223-222@62j-sjv-9xq,42.370282,-71.11851899999999,Restaurants and Other Eating Places
225-222@62j-sj2-t35,42.366069,-71.105366,Restaurants and Other Eating Places
227-222@62j-sj2-rzf,42.363594,-71.098974,Restaurants and Other Eating Places
222-222@62j-sjt-yvz,42.372262,-71.133935,Restaurants and Other Eating Places
228-223@62j-sj2-rzf,42.363608,-71.099492,Restaurants and Other Eating Places
23f-223@62j-sj2-s5z,42.363921000000005,-71.101676,Restaurants and Other Eating Places
zzw-223@62j-sj2-s3q,42.362611,-71.098646,Restaurants and Other Eating Places
224-222@62j-sj3-3bk,42.364393,-71.08209699999999,Restaurants and Other Eating Places
22b-222@62j-sj3-2zf,42.363578000000004,-71.083294,Restaurants and Other Eating Places
zzw-222@62j-sj3-4d9,42.363164000000005,-71.088442,Restaurants and Other Eating Places
222-224@62j-sk2-v9f,42.388049,-71.119664,Restaurants and Other Eating Places
22s-222@62j-sjt-3qz,42.38851,-71.13216899999999,Restaurants and Other Eating Places
zzw-223@62j-sj3-4d9,42.363039,-71.088413,Restaurants and Other Eating Places
226-222@62j-sj3-5j9,42.365056,-71.079892,Restaurants and Other Eating Places
zzw-222@62j-sj2-b49,42.359142,-71.092973,Restaurants and Other Eating Places
zzw-225@62j-sk2-tsq,42.391434000000004,-71.122743,Restaurants and Other Eating Places
226-22d@62j-sk2-vcq,42.387293,-71.118475,Restaurants and Other Eating Places
24k-223@62j-sj2-qj9,42.364783,-71.108787,Restaurants and Other Eating Places
27h-222@62j-sj2-qcq,42.364093,-71.10769300000001,Restaurants and Other Eating Places
zzw-224@62j-sjv-8y9,42.370905,-71.11358,Restaurants and Other Eating Places
zzw-22c@62j-sj2-54v,42.366084,-71.090843,Drinking Places (Alcoholic Beverages)
225-222@62j-sjv-8sq,42.371328999999996,-71.11647099999999,Restaurants and Other Eating Places
