tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
300,38:11.9,43:12.7,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,2468,Subscriber,1996,2,134472,-71.08938704,42.37095256,259415,-71.07452037,42.37258231,31091,31392
95,40:14.5,41:50.3,189,Kendall T,42.36242784,-71.08495474,107,Ames St at Main St,42.3625,-71.08822,5794,Subscriber,1992,1,4330,-71.08450278,42.3605652,4347,-71.09057153,42.36162,31214,31310
437,41:32.4,48:50.0,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,107,Ames St at Main St,42.3625,-71.08822,4453,Subscriber,1987,1,91876,-71.08498457,42.37142041,144549,-71.09159435,42.36336144,31292,31730
173,43:40.0,46:33.5,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,107,Ames St at Main St,42.3625,-71.08822,5307,Subscriber,1997,1,124538,-71.09508725,42.35692037,203985,-71.08662682,42.36103454,31419,31593
479,43:48.2,51:48.0,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,2632,Customer,1996,1,102889,-71.07963885,42.37123489,11368,-71.09061963,42.3687854,31428,31908
167,46:55.6,49:43.0,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,5382,Subscriber,1967,1,65996,-71.09084879,42.36875613,69953,-71.08937202,42.36342991,31615,31782
340,46:59.1,52:39.9,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,2251,Subscriber,1993,1,4364,-71.09573896,42.35871975,103025,-71.09356153,42.3679685,31619,31959
373,47:45.8,53:59.0,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,107,Ames St at Main St,42.3625,-71.08822,5592,Subscriber,1991,2,101600,-71.08373575,42.3699815,246685,-71.09053915,42.363431,31665,32038
155,48:56.8,51:31.8,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,2052,Subscriber,1963,1,225286,-71.0795231,42.3696577,20738,-71.07942175,42.36804826,31736,31891
390,49:55.3,56:26.3,141,Kendall Street,42.36356016,-71.08216792,107,Ames St at Main St,42.3625,-71.08822,5252,Subscriber,1979,1,259921,-71.08463183,42.36170904,245877,-71.08795597,42.36214776,31795,32186
335,50:08.0,55:43.4,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,228,One Memorial Drive,42.36161932,-71.08043551,5679,Subscriber,1994,1,20645,-71.08554954,42.37019389,259925,-71.08339796,42.36310196,31808,32143
297,50:22.4,55:19.6,398,75 Binney St,42.36550729,-71.0801376,107,Ames St at Main St,42.3625,-71.08822,5937,Subscriber,1995,1,203468,-71.08062887,42.3644804,4320,-71.09164183,42.3623479,31822,32119
438,53:02.6,00:20.8,189,Kendall T,42.36242784,-71.08495474,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,4915,Subscriber,1968,1,4330,-71.08450278,42.3605652,20564,-71.07943052,42.37203505,31982,32420
293,53:30.2,58:23.5,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,107,Ames St at Main St,42.3625,-71.08822,2457,Subscriber,1967,1,184328,-71.08422132,42.36960725,69952,-71.08810427,42.36388695,32010,32303
255,57:31.5,01:47.2,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,107,Ames St at Main St,42.3625,-71.08822,3716,Subscriber,2000,1,201826,-71.09403266,42.36038414,259920,-71.08765373,42.36325299,32251,32507
196,57:58.8,01:15.5,117,Binney St / Sixth St,42.36608797,-71.08633604,107,Ames St at Main St,42.3625,-71.08822,5226,Subscriber,1997,1,136728,-71.08518796,42.36831384,201823,-71.09013443,42.3611579,32278,32475
510,58:42.8,07:13.4,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,189,Kendall T,42.36242784,-71.08495474,2889,Subscriber,2001,1,4323,-71.09477063,42.35904934,245877,-71.08795597,42.36214776,32322,32833
248,00:00.8,04:09.1,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,107,Ames St at Main St,42.3625,-71.08822,2901,Subscriber,1992,1,201812,-71.09086412,42.36000028,4322,-71.08934074,42.36031884,32400,32649
304,01:38.5,06:42.5,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,107,Ames St at Main St,42.3625,-71.08822,4194,Subscriber,1992,1,185257,-71.0902567,42.36966635,4342,-71.08862548,42.36164777,32498,32802
289,02:36.0,07:26.0,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,107,Ames St at Main St,42.3625,-71.08822,5994,Subscriber,1988,1,102917,-71.08389341,42.37066753,125217,-71.08902574,42.36428884,32556,32845
185,03:42.7,06:47.9,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,3693,Subscriber,1996,2,136719,-71.09021005,42.3693943,53575,-71.09324213,42.36428678,32622,32807
190,04:37.9,07:47.9,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,107,Ames St at Main St,42.3625,-71.08822,3226,Subscriber,2000,2,221,-71.09442546,42.35717456,187323,-71.0852497,42.36268232,32677,32867
284,06:41.9,11:26.5,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,117,Binney St / Sixth St,42.36608797,-71.08633604,2118,Subscriber,1991,2,20663,-71.09001002,42.36985033,136728,-71.08518796,42.36831384,32801,33086
275,11:51.9,16:27.5,185,Third at Binney,42.36544486,-71.08277142,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,5847,Subscriber,1992,1,20739,-71.08267667,42.36799768,52872,-71.0941032,42.36606242,33111,33387
387,13:55.9,20:22.9,189,Kendall T,42.36242784,-71.08495474,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2699,Subscriber,1985,2,4329,-71.08571552,42.360176,201809,-71.09108474,42.35945066,33235,33622
